Date,Cashflow,NAV
2014-03-31,-5000000,5000000
2014-06-30,-3000000,7800000
2014-09-30,-4000000,11500000
2014-12-31,-2500000,13800000
2015-03-31,-3500000,16900000
2015-06-30,-4000000,20400000
2015-09-30,-2000000,22100000
2015-12-31,-1500000,23200000
2016-03-31,-2000000,24800000
2016-06-30,-1000000,25600000
2016-09-30,-1500000,26800000
2016-12-31,0,27500000
2017-03-31,-500000,28200000
2017-06-30,800000,28800000
2017-09-30,700000,29400000
2017-12-31,1500000,30200000
2018-03-31,2000000,31000000
2018-06-30,1800000,32400000
2018-09-30,2500000,33200000
2018-12-31,3200000,34500000
2019-03-31,2800000,35800000
2019-06-30,3500000,37200000
2019-09-30,4200000,38100000
2019-12-31,3800000,39500000
2020-03-31,2200000,37800000
2020-06-30,1500000,36200000
2020-09-30,2800000,35400000
2020-12-31,4500000,36800000
2021-03-31,5200000,39200000
2021-06-30,6800000,41500000
2021-09-30,7500000,43200000
2021-12-31,8200000,44800000
2022-03-31,9500000,43600000
2022-06-30,11200000,41800000
2022-09-30,10800000,38900000
2022-12-31,12500000,35200000
2023-03-31,8900000,30800000
2023-06-30,9800000,25400000
2023-09-30,11200000,18600000
2023-12-31,13400000,12200000
2024-03-31,8600000,6800000
2024-06-30,6800000,0 